borrowerage,maritalstatus,householdsize,dependents,region,level,borrowercreditscore,employmentstatus,inflationrate,repaymentplan,collectionefforts,loanamount,remainingamount,interestratechange,lossdefault
23,Single,1,0,South,Diploma,616,Employed,12.81,Salary,No Collectioneffort,2000000,856614.48,0.35,No Default
36,Married,2,1,North,Degree,576,Employed,14.07,Salary,Reminders,1760000,1160860.45,1.06,Default
31,Married,2,0,South,Degree,696,Employed,18.71,Salary,No Collectioneffort,1760000,1588847.61,0.06,No Default
27,Married,4,1,North,Degree,679,Self-employed,17.74,Salary,No Collectioneffort,880000,570866.48,1.0,Default
24,Married,1,3,North,Degree,630,Unemployed,15.11,Salary,Calls,1760000,472774.55,1.26,Default
37,Single,3,5,Central,Degree,666,Unemployed,18.75,Salary,Reminders,1760000,1621462.63,0.77,Default
23,Married,2,0,Central,Degree,629,Self-employed,7.36,Salary,Calls,4000000,833644.09,1.87,No Default
35,Married,3,2,Central,Degree,638,Self-employed,4.42,Voluntary,No Collectioneffort,4000000,1516777.43,0.48,No Default
39,Divorced,2,4,North,Diploma,675,Self-employed,16.98,Salary,No Collectioneffort,880000,667169.02,0.96,Default
27,Single,3,0,South,Degree,649,Employed,19.1,Salary,Calls,4000000,1218717.51,1.84,No Default
27,Married,3,2,North,Degree,650,Employed,19.3,Salary,No Collectioneffort,4000000,1490539.76,1.59,No Default
40,Married,1,2,North,Diploma,554,Employed,19.95,Salary,Calls,4000000,623343.31,0.12,No Default
37,Single,4,0,North,Degree,691,Employed,18.23,Salary,Reminders,1760000,1218176.46,1.54,Default
20,Married,4,0,Central,Diploma,715,Self-employed,3.55,Voluntary,No Collectioneffort,2000000,1447968.85,1.48,Default
24,Single,1,0,Central,Degree,701,Employed,11.0,Voluntary,No Collectioneffort,1760000,1427715.78,0.07,No Default
40,Divorced,3,2,South,Degree,623,Unemployed,3.09,Voluntary,No Collectioneffort,2000000,488513.44,1.75,No Default
19,Married,3,0,Central,Degree,698,Employed,19.66,Voluntary,No Collectioneffort,4000000,1142723.22,1.11,Default
38,Single,1,0,North,Degree,671,Employed,11.75,Salary,No Collectioneffort,4000000,3711097.55,1.71,No Default
37,Single,2,2,South,Degree,606,Employed,13.74,Voluntary,Calls,1760000,178679.54,1.84,No Default
18,Single,5,1,Central,Degree,634,Unemployed,18.29,Salary,No Collectioneffort,2000000,1522540.62,0.0,Default
40,Single,3,0,South,Degree,645,Unemployed,10.07,Salary,No Collectioneffort,4000000,1040420.22,0.51,No Default
28,Single,5,1,North,Degree,533,Employed,13.21,Salary,No Collectioneffort,1760000,742166.06,1.1,Default
22,Single,3,6,North,Diploma,659,Employed,8.32,Salary,No Collectioneffort,1760000,360731.52,1.76,No Default
18,Married,1,0,Central,Degree,593,Employed,8.99,Salary,No Collectioneffort,1760000,854346.66,1.43,Default
37,Single,1,0,Central,Degree,597,Employed,12.93,Voluntary,No Collectioneffort,4000000,1130472.92,0.61,No Default
17,Married,3,0,North,Degree,657,Employed,11.89,Salary,No Collectioneffort,1760000,845851.98,0.67,Default
28,Married,3,0,South,Degree,632,Employed,12.78,Voluntary,No Collectioneffort,880000,282806.24,1.32,No Default
38,Married,1,2,North,Diploma,600,Employed,6.67,Voluntary,No Collectioneffort,4000000,1502289.61,1.58,No Default
28,Married,3,5,North,Degree,657,Self-employed,17.69,Salary,Calls,880000,841876.19,1.84,Default
33,Single,4,2,North,Degree,607,Self-employed,12.42,Salary,No Collectioneffort,1760000,1135786.28,1.44,Default
26,Single,4,1,South,Diploma,606,Unemployed,6.18,Voluntary,No Collectioneffort,1760000,1565810.26,1.69,Default
32,Married,2,1,Central,Degree,708,Employed,3.01,Voluntary,Notices,880000,292240.65,1.33,No Default
31,Married,2,0,Central,Degree,658,Unemployed,17.16,Salary,Notices,4000000,1944566.43,1.29,Default
